Economy,Code,Code to GeoJSON,Region,Income group,Lending category,Other (EMU or HIPC)
Timor-Leste,TLS,TLS,East Asia & Pacific,Lower middle income,Blend,
Tonga,TON,TON,East Asia & Pacific,Upper middle income,IDA,
Trinidad and Tobago,TTO,TTO,Latin America & Caribbean,High income,IBRD,
Tunisia,TUN,TUN,Middle East & North Africa,Lower middle income,IBRD,
Turkey,TUR,TUR,Europe & Central Asia,Upper middle income,IBRD,
Tuvalu,TUV,TUV,East Asia & Pacific,Upper middle income,IDA,
"Taiwan, China",TWN,TWN,East Asia & Pacific,High income,,
Tanzania,TZA,TZA,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Uganda,UGA,UGA,Sub-Saharan Africa,Low income,IDA,HIPC
Ukraine,UKR,UKR,Europe & Central Asia,Lower middle income,IBRD,
Uruguay,URY,URY,Latin America & Caribbean,High income,IBRD,
United States,USA,USA,North America,High income,,
Uzbekistan,UZB,UZB,Europe & Central Asia,Lower middle income,Blend,
St. Vincent and the Grenadines,VCT,VCT,Latin America & Caribbean,Upper middle income,Blend,
"Venezuela, RB",VEN,VEN,Latin America & Caribbean,,IBRD,
British Virgin Islands,VGB,VGB,Latin America & Caribbean,High income,,
Virgin Islands (U.S.),VIR,VIR,Latin America & Caribbean,High income,,
Vietnam,VNM,VNM,East Asia & Pacific,Lower middle income,IBRD,
Vanuatu,VUT,VUT,East Asia & Pacific,Lower middle income,IDA,
Samoa,WSM,WSM,East Asia & Pacific,Lower middle income,IDA,
Kosovo,XKX,KSV,Europe & Central Asia,Upper middle income,IDA,
"Yemen, Rep.",YEM,YEM,Middle East & North Africa,Low income,IDA,
South Africa,ZAF,ZAF,Sub-Saharan Africa,Upper middle income,IBRD,
Zambia,ZMB,ZMB,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Zimbabwe,ZWE,ZWE,Sub-Saharan Africa,Lower middle income,Blend,
